Combin(370,520).In0	Combin(370,520).In1	Combin(370,520).In2	Combin(370,520).In3	Combin(370,520).In4	Combin(370,520).In5	Combin(370,520).In6	Combin(370,520).In7	Combin(370,520).Out
0	0	0	0	0	0	0	0	000
0	0	0	0	0	0	0	1	000
0	0	0	0	0	0	1	0	001
0	0	0	0	0	0	1	1	010
0	0	0	0	0	1	0	0	000
0	0	0	0	0	1	0	1	000
0	0	0	0	0	1	1	0	000
0	0	0	0	0	1	1	1	000
0	0	0	0	1	0	0	0	000
0	0	0	0	1	0	0	1	000
0	0	0	0	1	0	1	0	000
0	0	0	0	1	0	1	1	011
0	0	0	0	1	1	0	0	000
0	0	0	0	1	1	0	1	000
0	0	0	0	1	1	1	0	000
0	0	0	0	1	1	1	1	000
0	0	0	1	0	0	0	0	000
0	0	0	1	0	0	0	1	000
0	0	0	1	0	0	1	0	001
0	0	0	1	0	0	1	1	010
0	0	0	1	0	1	0	0	000
0	0	0	1	0	1	0	1	000
0	0	0	1	0	1	1	0	000
0	0	0	1	0	1	1	1	000
0	0	0	1	1	0	0	0	000
0	0	0	1	1	0	0	1	000
0	0	0	1	1	0	1	0	000
0	0	0	1	1	0	1	1	011
0	0	0	1	1	1	0	0	000
0	0	0	1	1	1	0	1	000
0	0	0	1	1	1	1	0	000
0	0	0	1	1	1	1	1	000
0	0	1	0	0	0	0	0	010
0	0	1	0	0	0	0	1	000
0	0	1	0	0	0	1	0	001
0	0	1	0	0	0	1	1	010
0	0	1	0	0	1	0	0	000
0	0	1	0	0	1	0	1	000
0	0	1	0	0	1	1	0	000
0	0	1	0	0	1	1	1	000
0	0	1	0	1	0	0	0	000
0	0	1	0	1	0	0	1	000
0	0	1	0	1	0	1	0	000
0	0	1	0	1	0	1	1	011
0	0	1	0	1	1	0	0	000
0	0	1	0	1	1	0	1	000
0	0	1	0	1	1	1	0	000
0	0	1	0	1	1	1	1	000
0	0	1	1	0	0	0	0	000
0	0	1	1	0	0	0	1	000
0	0	1	1	0	0	1	0	001
0	0	1	1	0	0	1	1	010
0	0	1	1	0	1	0	0	000
0	0	1	1	0	1	0	1	000
