Input	CombinationalOutput
0000 0000	000
0000 0001	111
0000 0010	001
0000 0011	100
0000 0100	110
0000 0101	011
0000 0110	010
0000 0111	100
x	x
x	x
0000 1010	101
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
0011 0000	000
0011 0001	000
0011 0010	000
0011 0011	000
0011 0100	000
0011 0101	000
0011 0110	000
0011 0111	000
0011 1000	000
0011 1001	000
0011 1010	000
0011 1011	000
0011 1100	000
0011 1101	000
0011 1110	000
0011 1111	000
0100 0000	001
0100 0001	001
0100 0010	001
0100 0011	001
0100 0100	001
0100 0101	001
0100 0110	001
0100 0111	001
0100 1000	001
0100 1001	001
0100 1010	001
0100 1011	001
0100 1100	001
0100 1101	001
0100 1110	001
0100 1111	001
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
1000 0000	000
1000 0001	000
1000 0010	000
1000 0011	000
1000 0100	000
1000 0101	000
1000 0110	000
1000 0111	000
1000 1000	000
1000 1001	000
1000 1010	000
1000 1011	000
1000 1100	000
1000 1101	000
1000 1110	000
1000 1111	000
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
1011 0000	000
1011 0001	000
1011 0010	000
1011 0011	000
1011 0100	000
1011 0101	000
1011 0110	000
1011 0111	000
1011 1000	000
1011 1001	000
1011 1010	000
1011 1011	000
1011 1100	000
1011 1101	000
1011 1110	000
1011 1111	000
1100 0000	010
1100 0001	010
1100 0010	010
1100 0011	010
1100 0100	010
1100 0101	010
1100 0110	010
1100 0111	010
1100 1000	010
1100 1001	010
1100 1010	010
1100 1011	010
1100 1100	010
1100 1101	010
1100 1110	010
1100 1111	010
1101 0000	011
1101 0001	011
1101 0010	011
1101 0011	011
1101 0100	011
1101 0101	011
1101 0110	011
1101 0111	011
1101 1000	011
1101 1001	011
1101 1010	011
1101 1011	011
1101 1100	011
1101 1101	011
1101 1110	011
1101 1111	011
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
x	x
